polled_at,pair,bid,ask,spread_pips,api_timestamp,market_status
2026-08-24T01:09:49.432074+00:00,USD_JPY,158.792,158.797,0.5,2026-08-24T01:09:49.34202Z,OPEN
2026-08-24T01:09:49.432074+00:00,EUR_JPY,185.514,185.519,0.5,2026-08-24T01:09:49.33646Z,OPEN
2026-08-24T01:09:49.432074+00:00,GBP_JPY,216.744,216.753,0.9,2026-08-24T01:09:49.341544Z,OPEN
2026-08-24T01:09:49.432074+00:00,AUD_JPY,113.922,113.929,0.7,2026-08-24T01:09:49.335526Z,OPEN
2026-08-24T04:04:40.558324+00:00,USD_JPY,158.943,158.948,0.5,2026-08-24T04:04:40.618262Z,OPEN
2026-08-24T04:04:40.558324+00:00,EUR_JPY,185.623,185.628,0.5,2026-08-24T04:04:40.620616Z,OPEN
2026-08-24T04:04:40.558324+00:00,GBP_JPY,216.869,216.878,0.9,2026-08-24T04:04:40.619574Z,OPEN
2026-08-24T04:04:40.558324+00:00,AUD_JPY,113.877,113.884,0.7,2026-08-24T04:04:40.621743Z,OPEN
2026-08-24T14:48:00.743987+00:00,USD_JPY,159.144,159.149,0.5,2026-08-24T14:48:00.639015Z,OPEN
2026-08-24T14:48:00.743987+00:00,EUR_JPY,185.721,185.726,0.5,2026-08-24T14:48:00.635799Z,OPEN
2026-08-24T14:48:00.743987+00:00,GBP_JPY,217.099,217.108,0.9,2026-08-24T14:48:00.635369Z,OPEN
2026-08-24T14:48:00.743987+00:00,AUD_JPY,113.92,113.927,0.7,2026-08-24T14:48:00.639795Z,OPEN
2026-08-24T14:54:27.546061+00:00,USD_JPY,159.144,159.149,0.5,2026-08-24T14:54:27.372693Z,OPEN
2026-08-24T14:54:27.546061+00:00,EUR_JPY,185.655,185.66,0.5,2026-08-24T14:54:27.372225Z,OPEN
2026-08-24T14:54:27.546061+00:00,GBP_JPY,217.008,217.017,0.9,2026-08-24T14:54:27.375081Z,OPEN
2026-08-24T14:54:27.546061+00:00,AUD_JPY,113.865,113.872,0.7,2026-08-24T14:54:27.469167Z,OPEN
2026-08-24T15:51:54.339030+00:00,USD_JPY,159.146,159.151,0.5,2026-08-24T15:51:54.277546Z,OPEN
2026-08-24T15:51:54.339030+00:00,EUR_JPY,185.683,185.688,0.5,2026-08-24T15:51:54.17948Z,OPEN
2026-08-24T15:51:54.339030+00:00,GBP_JPY,216.959,216.968,0.9,2026-08-24T15:51:54.180015Z,OPEN
2026-08-24T15:51:54.339030+00:00,AUD_JPY,113.821,113.828,0.7,2026-08-24T15:51:54.181406Z,OPEN
2026-08-24T16:52:00.427684+00:00,USD_JPY,159.081,159.086,0.5,2026-08-24T16:52:00.355621Z,OPEN
2026-08-24T16:52:00.427684+00:00,EUR_JPY,185.565,185.57,0.5,2026-08-24T16:52:00.352587Z,OPEN
2026-08-24T16:52:00.427684+00:00,GBP_JPY,216.868,216.877,0.9,2026-08-24T16:52:00.356108Z,OPEN
2026-08-24T16:52:00.427684+00:00,AUD_JPY,113.742,113.749,0.7,2026-08-24T16:52:00.355913Z,OPEN
2026-08-24T17:40:30.430110+00:00,USD_JPY,159.158,159.163,0.5,2026-08-24T17:40:30.296917Z,OPEN
2026-08-24T17:40:30.430110+00:00,EUR_JPY,185.559,185.564,0.5,2026-08-24T17:40:30.301681Z,OPEN
2026-08-24T17:40:30.430110+00:00,GBP_JPY,216.914,216.923,0.9,2026-08-24T17:40:30.301906Z,OPEN
2026-08-24T17:40:30.430110+00:00,AUD_JPY,113.71,113.717,0.7,2026-08-24T17:40:30.300821Z,OPEN
2026-08-24T18:54:36.035829+00:00,USD_JPY,159.192,159.197,0.5,2026-08-24T18:54:35.934502Z,OPEN
2026-08-24T18:54:36.035829+00:00,EUR_JPY,185.666,185.671,0.5,2026-08-24T18:54:35.934817Z,OPEN
2026-08-24T18:54:36.035829+00:00,GBP_JPY,216.989,216.998,0.9,2026-08-24T18:54:35.934097Z,OPEN
2026-08-24T18:54:36.035829+00:00,AUD_JPY,113.785,113.792,0.7,2026-08-24T18:54:35.931811Z,OPEN
2026-08-24T19:38:21.425117+00:00,USD_JPY,159.186,159.191,0.5,2026-08-24T19:38:21.318715Z,OPEN
2026-08-24T19:38:21.425117+00:00,EUR_JPY,185.619,185.624,0.5,2026-08-24T19:38:21.321657Z,OPEN
2026-08-24T19:38:21.425117+00:00,GBP_JPY,216.913,216.922,0.9,2026-08-24T19:38:21.318065Z,OPEN
2026-08-24T19:38:21.425117+00:00,AUD_JPY,113.77,113.777,0.7,2026-08-24T19:38:21.32292Z,OPEN
2026-08-24T20:43:13.807570+00:00,USD_JPY,159.13,159.135,0.5,2026-08-24T20:43:13.742602Z,OPEN
2026-08-24T20:43:13.807570+00:00,EUR_JPY,185.588,185.593,0.5,2026-08-24T20:43:13.744312Z,OPEN
2026-08-24T20:43:13.807570+00:00,GBP_JPY,216.884,216.893,0.9,2026-08-24T20:43:13.645018Z,OPEN
2026-08-24T20:43:13.807570+00:00,AUD_JPY,113.761,113.768,0.7,2026-08-24T20:43:13.64566Z,OPEN
